Test_Case_Name,Endpoint_URL,Result
test_project_status,http://13.202.227.36:8001/project/checkproject/,PASS
test_project_list,http://13.202.227.36:8001/project/list/,PASS
test_validate_netlist,http://13.202.227.36:8001/netlist/validate/,PASS
download_global_netlist,http://13.202.227.36:8001/stage/download/files/,PASS
test_download_global_techfile,http://13.202.227.36:8001/stage/download/files/,PASS
test_create_project_layout,http://13.202.227.36:8001/project/create/,PASS
download_global_netlist,http://13.202.227.36:8001/stage/download/files/,PASS
test_download_user_techfile,http://13.202.227.36:8001/stage/download/files/,PASS
test_project_status_once_created,http://13.202.227.36:8001/project/checkproject/,PASS
test_run_layout_project,http://13.202.227.36:8001/run/project/,PASS
test_stage1_run_summary,http://13.202.227.36:8001/stage/summary/,FAIL
test_get_stage1_job_details,http://13.202.227.36:8001/run/job/6023,PASS
test_download_all_stage1,http://13.202.227.36:8001/stage/download/result/,PASS
test_getlist_netlist,http://13.202.227.36:8001/netlist/getlist/,PASS
test_getlist_techlist,http://13.202.227.36:8001/tech/getlist/,PASS
test_get_data,http://13.202.227.36:8001/netlist/getdata/,PASS
test_techdata,http://13.202.227.36:8001/tech/getdata/,PASS
test_get_job_list,http://13.202.227.36:8001/run/list/,PASS
test_get_stage1_ready_list,http://13.202.227.36:8001/project/stage1_ready/,PASS
